id_sesion,sesion,fecha,legislatura,leg_ses,url
2751,127,miércoles 4 enero 2012,359,l359s127,https://www.camara.cl/verdoc.aspx?prmid=2751&prmtipo=TEXTOSESION&prmtipodoc=83
2750,126,martes 3 enero 2012,359,l359s126,https://www.camara.cl/verdoc.aspx?prmid=2750&prmtipo=TEXTOSESION&prmtipodoc=83
2749,125,jueves 22 diciembre 2011,359,l359s125,https://www.camara.cl/verdoc.aspx?prmid=2749&prmtipo=TEXTOSESION&prmtipodoc=83
2748,124,miércoles 21 diciembre 2011,359,l359s124,https://www.camara.cl/verdoc.aspx?prmid=2748&prmtipo=TEXTOSESION&prmtipodoc=83
2747,123,martes 20 diciembre 2011,359,l359s123,https://www.camara.cl/verdoc.aspx?prmid=2747&prmtipo=TEXTOSESION&prmtipodoc=83
2746,122,jueves 15 diciembre 2011,359,l359s122,https://www.camara.cl/verdoc.aspx?prmid=2746&prmtipo=TEXTOSESION&prmtipodoc=83
2745,121,miércoles 14 diciembre 2011,359,l359s121,https://www.camara.cl/verdoc.aspx?prmid=2745&prmtipo=TEXTOSESION&prmtipodoc=83
2744,120,martes 13 diciembre 2011,359,l359s120,https://www.camara.cl/verdoc.aspx?prmid=2744&prmtipo=TEXTOSESION&prmtipodoc=83
2743,119,miércoles 30 noviembre 2011,359,l359s119,https://www.camara.cl/verdoc.aspx?prmid=2743&prmtipo=TEXTOSESION&prmtipodoc=83
2742,118,miércoles 30 noviembre 2011,359,l359s118,https://www.camara.cl/verdoc.aspx?prmid=2742&prmtipo=TEXTOSESION&prmtipodoc=83
2741,117,martes 29 noviembre 2011,359,l359s117,https://www.camara.cl/verdoc.aspx?prmid=2741&prmtipo=TEXTOSESION&prmtipodoc=83
2740,116,lunes 28 noviembre 2011,359,l359s116,https://www.camara.cl/verdoc.aspx?prmid=2740&prmtipo=TEXTOSESION&prmtipodoc=83
2739,115,jueves 24 noviembre 2011,359,l359s115,https://www.camara.cl/verdoc.aspx?prmid=2739&prmtipo=TEXTOSESION&prmtipodoc=83
2738,114,miércoles 23 noviembre 2011,359,l359s114,https://www.camara.cl/verdoc.aspx?prmid=2738&prmtipo=TEXTOSESION&prmtipodoc=83
2737,113,martes 22 noviembre 2011,359,l359s113,https://www.camara.cl/verdoc.aspx?prmid=2737&prmtipo=TEXTOSESION&prmtipodoc=83
2736,112,lunes 21 noviembre 2011,359,l359s112,https://www.camara.cl/verdoc.aspx?prmid=2736&prmtipo=TEXTOSESION&prmtipodoc=83
2735,111,lunes 21 noviembre 2011,359,l359s111,https://www.camara.cl/verdoc.aspx?prmid=2735&prmtipo=TEXTOSESION&prmtipodoc=83
2734,110,jueves 17 noviembre 2011,359,l359s110,https://www.camara.cl/verdoc.aspx?prmid=2734&prmtipo=TEXTOSESION&prmtipodoc=83
2733,109,miércoles 16 noviembre 2011,359,l359s109,https://www.camara.cl/verdoc.aspx?prmid=2733&prmtipo=TEXTOSESION&prmtipodoc=83
2732,108,martes 15 noviembre 2011,359,l359s108,https://www.camara.cl/verdoc.aspx?prmid=2732&prmtipo=TEXTOSESION&prmtipodoc=83
2731,107,jueves 10 noviembre 2011,359,l359s107,https://www.camara.cl/verdoc.aspx?prmid=2731&prmtipo=TEXTOSESION&prmtipodoc=83
